CIP_FIRST4,CREDLEV,AGR
110,5,0.054236318
199,3,0.044697508
305,3,0.039944108
402,3,0.05260229
402,5,0.048032493
901,3,0.052126967
901,5,0.042614264
904,3,0.053545914
904,5,0.042890115
1003,3,0.044180969
1003,5,0.023933039
1101,3,0.035508415
1101,5,0.03312252
1104,5,0.045489469
1107,3,0.045722235
1107,6,0.020881065
1107,5,0.034330026
1108,5,0.032346713
1109,5,0.038460103
1110,5,0.049287267
1301,3,0.033789672
1303,5,0.021446934
1304,5,0.03042834
1310,5,0.024545386
1312,5,0.022355185
1314,5,0.03033165
1402,3,0.047739147
1402,5,0.038076634
1407,3,0.044697508
1407,6,0.035268422
1407,5,0.042731761
1408,3,0.044180969
1408,5,0.044180969
1409,3,0.045722235
1409,6,0.027674224
1409,5,0.039652754
1410,3,0.044697508
1410,5,0.039652754
1418,5,0.041402958
1419,3,0.041021226
1419,5,0.03514709
1423,5,0.047189099
1425,5,0.051404851
1427,5,0.036257444
1435,3,0.042086222
1435,5,0.040940711
1437,5,0.037591795
1503,6,0.030065037
1510,3,0.043139379
1609,3,0.037752329
2201,7,0.063900742
2301,3,0.045211253
2301,5,0.022233393
2313,5,0.042650323
2401,3,0.050686651
2401,5,0.040067127
2501,5,0.01354508
2601,3,0.043661603
2602,6,0.041812529
2699,6,0.034968706
2699,5,0.048852948
2701,3,0.061212884
2703,5,0.057521225
2705,5,0.015520751
3020,5,0.049427077
3031,5,0.026335058
3801,3,0.061212884
3802,3,0.036074423
3802,5,0.02184546
4005,3,0.054014262
4005,5,0.034366083
4006,5,0.05090349
4006,3,0.051649269
4008,3,0.056322286
4008,6,0.037923759
4008,5,0.050681417
4201,3,0.044180969
4228,5,0.025691307
4301,3,0.0404842
4301,5,0.036009288
4400,5,0.013870301
4407,5,0.02497651
4502,3,0.043661603
4506,3,0.058129573
4506,6,0.024285429
4507,3,0.039400912
4509,3,0.058576136
4509,5,0.062125459
4510,3,0.055865101
4511,3,0.039944108
4511,5,0.028257809
4606,5,0.052324791
5004,3,0.032626132
5004,5,0.031227272
5005,3,0.039400912
5006,3,0.050686651
5009,3,0.036074423
5107,3,0.037752329
5107,5,0.035576124
5131,3,0.027821978
5138,7,0.0120299
5139,3,0.017400842
5139,5,0.015242614
5202,3,0.044180969
5202,5,0.044130344
5203,3,0.044180969
5206,5,0.052409516
5207,5,0.060814846
5208,3,0.052126967
5208,5,0.045838962
5209,3,0.035508415
5211,5,0.058931596
5212,3,0.043661603
5212,5,0.052389394
5213,5,0.04015539
5214,3,0.057230177
5214,5,0.065769049
5216,5,0.059463094
5220,5,0.044621474
5299,5,0.062837588
5401,3,0.050686651
5401,5,0.027700298
